Author,Fields
D. Boutigany,cs;astro-ph;astro-ph;math;math;math;math;math;physics;hep-th
Catuscia Palamidessi,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
W. Wenzel,physics;astro-ph;physics;cond-mat;physics;math;cond-mat;cond-mat;cond-mat;cond-mat
Paisan Kanthang,q-bio;physics;q-bio;cond-mat
A. Czirok,physics
Santosh Ansumali,cond-mat;cond-mat;nlin;cond-mat;cond-mat;cond-mat;cond-mat;physics;physics;cond-mat
Armand Borel,math;math;cond-mat;cond-mat;math-ph;physics;math;math;physics;physics
Hao-Geng Hung,math-ph;math;math;cs;math;math;hep-th;math;cs;nucl-ex
I. B. Khriplovich,hep-ph;hep-ph;gr-qc;hep-ph;gr-qc;nucl-th;gr-qc;gr-qc;gr-qc;hep-ph
A. J. van Es,nlin;math;math;math;astro-ph;cond-mat;math;hep-th;math;astro-ph
W. E. Ormand,nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th
Steve Bryson,cs;math;astro-ph;astro-ph;astro-ph;astro-ph;gr-qc;hep-ex;hep-ex;hep-ex
Jan Heering,cs;cs;cond-mat;cond-mat;cond-mat;cond-mat;math;math;math;astro-ph
Jun-ichi Inoue,math;math;math;math;math;math;math;math;math;math
Hyungsik Roger Moon,econ;econ;econ;econ;cs;cs;cs;cs;cond-mat;astro-ph
B. Militzer,cond-mat;cond-mat;cond-mat;astro-ph;physics;cond-mat;physics;astro-ph;astro-ph;cond-mat
A. Albagul,cs;cond-mat;cond-mat;astro-ph;hep-ph;math;astro-ph;astro-ph;astro-ph;astro-ph
Christopher Haydock,physics;physics;physics;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;nlin
Albina Danilova,q-fin;q-fin;math;math;math;math;math;physics;cond-mat;cond-mat
Thomas Longstaff,cs;math;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
D. Volchenkov,physics;nlin;physics;physics;physics;physics;physics;cond-mat;cond-mat;nlin
Ranee Brylinski,math;math;math;math;math;math;math;math;math;quant-ph
V. J. S. Bejar,astro-ph;astro-ph;astro-ph;physics;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Erasmo Recami,physics;physics;physics;physics;physics;hep-th;physics;physics;physics;physics
Iliya V. Karlin,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;nlin;physics;cond-mat
A. S. R. Murty et. al,physics;astro-ph;math;math;astro-ph;nucl-ex;astro-ph;astro-ph;astro-ph;nlin
T. Aso,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Ragnar-Olaf Buchweitz,math;math;math;math;math;math;math;math;math;math
Allon G. Percus,stat;cond-mat;stat;stat;cond-mat;cs;cs;cs;math;cs
Zuzana Masakova,math;math-ph;math;math;math;math;math;cs;math;math
Davide Rocchesso,cs;cs;cs;cs;cs;hep-ex;hep-ex;hep-lat;hep-th;hep-th
Myriam Desainte-Catherine,math;math;math;math;math;astro-ph;math;astro-ph;math;cs
Jay Jorgenson,math;math;math;math;math;math;math;math-ph;math;math
Erhan Bayraktar,math;math;cs;math;math;math;math;math;math;cs
Noboru Murata,cs;cs;cs;cs;cs;cs;cond-mat;cond-mat;hep-th;hep-th
Izu Vaisman,math;math;math;math;math;math;math;math;math;math
S. Costa,gr-qc;math-ph;hep-ph;cond-mat;hep-ph;math;cond-mat;hep-ph;hep-th;physics
M. E. Gershenson,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Thomas Wolf,cs;cs;nlin;nlin;math;cs;cs;cs;nlin;nlin
H. Ritsch,quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;cond-mat;quant-ph;quant-ph
T. Shea,cs;astro-ph;hep-ph;nucl-ex;math;astro-ph;astro-ph;cond-mat;math;math
G. K. Savvidy,hep-th;hep-th;hep-ph;hep-lat;hep-th;hep-th;hep-th;hep-th;cond-mat;hep-th
Walter Eaves,cs;cs;cs;cs;math;astro-ph;cs;cond-mat;cond-mat;cond-mat
Richard L. Weaver,physics;physics;cond-mat;cond-mat;nlin;physics;cond-mat;cond-mat;cond-mat;physics
Mario Winter,cs;quant-ph;quant-ph;quant-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
A. Hasan,math;math;cond-mat;cs;cond-mat;astro-ph;cs;hep-ph;math;cond-mat
A. Ronen,physics;cond-mat;astro-ph;math;quant-ph;cs;physics;cond-mat;astro-ph;math
Ke Yu,hep-th;cs;cs;math-ph;cond-mat;cs;cs;q-fin;cs;math
G. G. Athanasiu,physics;math-ph;hep-lat;hep-th;cs;physics;physics;cond-mat;cond-mat;cond-mat
Dolan Chapa Sen,math-ph;hep-th;hep-th;hep-th;hep-th;cond-mat;hep-th;hep-th;hep-th;physics
Cheolwoo Park,stat;stat;cs;physics;cs;cs;astro-ph;math;math-ph;cs
Sarjinder Singh,stat;math;math;stat;math;math;math;math;math;math
Lauro Lins,math;cs;cs;cs;math;math;math;astro-ph;astro-ph;hep-ph
M. Virchaux,cs;hep-ex;hep-ex;math;math;astro-ph;astro-ph;astro-ph;cond-mat;cond-mat
Maya Paczuski,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;q-bio;cond-mat;cond-mat;cond-mat;cond-mat
Krzysztof Goral,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;astro-ph;astro-ph
Z. Roka,nlin;hep-ph;cond-mat;hep-ph;hep-ph;hep-th;math-ph;math-ph;math;math
C. Kohl,physics;cond-mat;quant-ph;cond-mat;cond-mat;physics;astro-ph;nucl-ex;cond-mat;cond-mat
Elizabeth D. Dolan,cs;cs;gr-qc;gr-qc;math;gr-qc;math;math;hep-ph;math
H. Dong,math-ph;math;math;math;cond-mat;math;cond-mat;cond-mat;math;cond-mat
Jacek Dziarmaga,cond-mat;cond-mat;hep-ph;physics;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;gr-qc
Martin E. Walter,math;math;math;math;cond-mat;math;cond-mat;math;math-ph;math
J. A. Fox,astro-ph;astro-ph;math;math;cond-mat;hep-th;hep-th;hep-ph;math;hep-ph
G. D. Westfall,nucl-ex;nucl-th;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-th;nucl-ex;cond-mat;hep-ph
Xi Yang,physics;physics;physics;physics;math;math;math;physics;physics;physics
D. P. McNabb,nucl-ex;hep-ex;hep-ex;hep-ex;hep-ex;nucl-ex;hep-ex;gr-qc;physics;nucl-ex
K. Hamacher,cond-mat;physics;cond-mat;physics;physics;hep-ex;cond-mat;nucl-ex;nucl-ex;nucl-ex
Eric Shell,gr-qc;gr-qc;hep-ph;physics;gr-qc;hep-th;cond-mat;hep-th;hep-ph;astro-ph
Liu Quan-Hui,quant-ph;math;cond-mat;cond-mat;quant-ph;cond-mat;math;math;math;math
Ph. D. Yuriy A. Chashkov,cs;cs;hep-ph;math;cond-mat;physics;math;math;physics;math-ph
Debashish Chowdhury,physics;cond-mat;physics;physics;physics;physics;cond-mat;physics;physics;physics
John J. Tyson,q-bio;gr-qc;q-bio;q-bio;gr-qc;gr-qc;physics;math-ph;math;cond-mat
Ruggero Maria Santilli,physics;physics;physics;physics;physics;physics;physics;physics;physics;physics
I. G. Kevrekidis,cond-mat;math;cond-mat;cond-mat;nlin;nlin;nlin;nlin;nlin;nlin
William P. Thurston,math;math;math;math;math;math;math;math;math;math
B. J. Carrigan,astro-ph;physics;astro-ph;astro-ph;astro-ph;physics;cond-mat;hep-th;nucl-ex;hep-th
Ulyan G. Pirumov,math;hep-ph;hep-ph;hep-ex;hep-ph;hep-ph;math;math;math;math
Mina B. Abd-el-malek,math;physics;hep-ph;math;math;math;cs;hep-ex;cs;q-fin
Behnam Farid,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Emin Martinian,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
Th. Schmid,hep-ex;hep-ex;hep-ex;cond-mat;cond-mat;cond-mat;cond-mat;gr-qc;hep-ex;hep-ex
Albert Schwarz,hep-th;hep-th;hep-th;hep-th;hep-th;hep-th;hep-th;hep-th;math;hep-th
J. R. Mureika,physics;physics;physics;physics;physics;physics;physics;physics;physics;physics
Abla Kammoun,cs;cs;cs;cs;cs;math;math;cs;cs;math
A. Frank,stat;q-bio;math;math;math;q-bio;q-bio;q-bio;q-bio;q-bio
Malak N. Makar,physics;hep-th;hep-th;q-bio;hep-th;cond-mat;cs;cs;cs;cs
D. T. Vo,cond-mat;cond-mat;astro-ph;cond-mat;stat;cond-mat;astro-ph;astro-ph;cond-mat;cond-mat
C. Bourrely,physics;hep-ph;hep-ph;hep-ph;hep-ph;physics;hep-ph;cond-mat;hep-ph;hep-ph
John Hannah,math;astro-ph;astro-ph;astro-ph;astro-ph;cond-mat;physics;astro-ph;astro-ph;cond-mat
S. Stumbo,physics;physics;physics;physics;physics;physics;physics;physics;physics;math
R. Watkins,hep-ph;astro-ph;cs;cond-mat;hep-ph;math-ph;astro-ph;quant-ph;astro-ph;astro-ph
Donu Arapura,math;math;math;math;math;math;math;math;math;math
Amy Novick-Cohen,math;math;math;math;astro-ph;math;math;math;q-bio;math
Marie Cottrell,math;math;math;math;stat;cs;math;math;math;math
Seiichiro Sakata,q-bio;quant-ph;math;math;physics;physics;quant-ph;physics;q-bio;astro-ph
Marc Artzrouni,math;stat;stat;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
J. Musson,cs;math;math;math;math;math;math;math;math;physics
Amit Ghosh,hep-th;math;gr-qc;math;gr-qc;gr-qc;math;gr-qc;hep-th;math
Geert Ridder,econ;astro-ph;math;stat;physics;physics;stat;stat;hep-th;math
Theodor W. Hansch,cond-mat;cond-mat;physics;physics;physics;physics;physics;physics;physics;cond-mat
Moshe Tennenholtz,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
A R Prasanna,gr-qc;astro-ph;gr-qc;astro-ph;gr-qc;gr-qc;astro-ph;astro-ph;astro-ph;gr-qc
Eric Lease Morgan,cs;cs;math;cs;cs;cs;cs;cs;astro-ph;astro-ph
D. Moricciani,quant-ph;physics;quant-ph;physics;nucl-ex;physics;hep-ph;physics;physics;physics
Nikolay Petkov,cs;cond-mat;hep-th;math;math;math;math;math;math;hep-th
Anatoly D. Plotnikov,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
H. E. Jackson,hep-ex;hep-ex;hep-ex;math;astro-ph;cond-mat;astro-ph;cond-mat;cond-mat;cond-mat
Ruchi Gupta,hep-ph;cs;physics;physics;physics;physics;cond-mat;cond-mat;cs;cs
A. Yegneswaran,nucl-ex;nucl-ex;nucl-ex;cond-mat;cond-mat;astro-ph;hep-ph;math;astro-ph;astro-ph
Silvio Melo,cs;cs;cs;cond-mat;math;math;math;cond-mat;math;math
Benny Lehmann,cond-mat;cs;stat;physics;math;math;cond-mat;math;astro-ph;math
Olga Gil-Medrano,astro-ph;hep-ph;hep-ph;hep-ph;math;math;math;math;math;math
A. Baumgaertner,q-bio;cond-mat;cond-mat;cond-mat;cond-mat;cs;physics;cond-mat;cond-mat;astro-ph
Jean-Guillaume Dumas,math;math;math;cs;math;math;physics;math;math;math
Michael Atiyah,math;math;math;math;math;math;math;math;math;physics
Stephen C. Milne,math;math;math;math;quant-ph;quant-ph;math;hep-ex;quant-ph;math
Carter Adams,astro-ph;astro-ph;astro-ph;astro-ph;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc
A. R. Bishop,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;quant-ph;cond-mat;cond-mat;cond-mat;cond-mat
Saunder MacLane,math;astro-ph;math;math;math;math;math;math;math;math
G. Laleci,cs;cs;cs;astro-ph;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
James F. Davis,math;math;math;math;math;math;math;math;math;math
M. K. Liou,nucl-th;nucl-th;nucl-th;cond-mat;nucl-th;cond-mat;cond-mat;physics;math;cs
Helge Holden,math;nlin;nlin;nlin;nlin;math;math;math;nlin;math
Kuppusamy Porsezian,nlin;cs;cs;cs;cs;cs;cs;cs;cs;cs
Mung-Chung Shung,stat;q-fin;stat;stat
A. D. Sokal,hep-lat;stat;hep-lat;cond-mat;hep-lat;hep-lat;hep-lat;hep-lat;math;math
James P. Brody,q-bio;cond-mat;q-bio;quant-ph;math;math;math;math;math;cs
R. Lemus,physics;physics;quant-ph;physics;physics;physics;physics;physics;physics;physics
R. Feldman,gr-qc;stat;stat;astro-ph;physics;nucl-th;cond-mat;math;gr-qc;astro-ph
Thorsten Koehler,cond-mat;cond-mat;quant-ph;cond-mat;cond-mat;cond-mat;cond-mat;quant-ph;quant-ph;quant-ph
Chaitanya Athale,q-bio;q-bio;q-bio;q-bio;q-bio;q-bio;cs;cs;quant-ph;math
R. B. Palmer,physics;physics;physics;physics;astro-ph;physics;hep-ph;physics;cond-mat;physics
Helmut Ritsch,cond-mat;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;cond-mat;quant-ph;quant-ph;quant-ph
Greg Hura,q-bio;astro-ph;cs;hep-ex;hep-ex;hep-lat;hep-ph;hep-ph;hep-th;math
D. Biron,q-bio;physics;cond-mat;cond-mat;quant-ph;quant-ph;quant-ph;cond-mat;cond-mat;q-bio
Yair Minsky,math;math;math;math;math;math;math;math;math;math
David S. Dean,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
T. E. Mason,cond-mat;cond-mat;cond-mat;astro-ph;physics;astro-ph;cond-mat;cond-mat;cond-mat;cond-mat
H. A. Cerdeira,quant-ph;physics;nlin;nlin;math;nlin;cond-mat;nlin;nlin;nlin
Andreas Siebert,cs;cs;cs;math;nlin;math;math;math;astro-ph;astro-ph
F. F. de Souza Cruz,physics;physics;math;cond-mat;nucl-th;nucl-th;cond-mat;cond-mat;cond-mat;physics
E. Moses,cond-mat;cond-mat;cs;physics;cond-mat;physics;physics;cond-mat;astro-ph;cond-mat
Robert Ellison,cs;astro-ph;q-bio;astro-ph;math;math;math;math;math;math
Darby Tien-Hao Chang,math;stat;stat;cond-mat;cs;nucl-ex;physics;nucl-ex;cs;cs
V. O. Nesterenko,nucl-th;physics;cond-mat;hep-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th
T. Matolcsi,math-ph;cond-mat;math-ph;math-ph;math-ph;math-ph;gr-qc;physics;math;math
Nina Amenta,cs;cs;math;cs;cs;cond-mat;math;physics;physics;physics
G. David Forney Jr.,cs;cs;cs;quant-ph;cs;cs;cs;math;cs;cs
Mai Xu,cs;cs;cs;cond-mat;cs;cs;cs;math;hep-ph;math
Naoko Aoyagi,q-bio;cond-mat;math;math;cond-mat;math;math;cond-mat;math;cond-mat
Erick Delage,q-fin;cs;gr-qc;gr-qc;hep-ph;hep-ph;hep-th;hep-th;hep-th;hep-th
Mike Ludkovski,math;q-fin;stat;q-fin;math;math;q-fin;stat;stat;hep-ex
M. R. Mailian,cond-mat;physics;cond-mat;physics;physics;physics;physics;hep-ex;cond-mat;cond-mat
Thomas Peternell,math;math;math;math;math;math;math;math;math;math
Nick W. Hengartner,hep-ph;hep-ph;q-bio;math;stat;hep-ph;hep-th;hep-th;hep-th;math
Zhong Xin Zhao,math;math;math;math;math;math;q-bio;math;math;cs
Wei-Xing Zhou,math;math;hep-ph;hep-ph;math;math;math;math;math;math
Rayalla Ranganayakulu,cs
Bradd Hart,math;math;math;math;math;math;math;math;math;math
David Kazhdan,math;math;math;math;math;math;math;math;math;math
P. Huet,hep-th;hep-ph;physics;hep-th;hep-ph;hep-th;cond-mat;hep-ph;hep-th;astro-ph
Joan S. Birman,math;math;math;math;math;math;math;math;math;math
C. Weber,hep-lat;hep-lat;hep-lat;hep-lat;hep-ph;cond-mat;math;hep-th;cond-mat;cond-mat
Claudius Gros,cond-mat;astro-ph;cond-mat;q-bio;q-bio;q-bio;physics;q-bio;physics;cond-mat
Gideon Schechtman,math;math;math;math;math;math;math;math;math;math
Adrian VanDeemen,nlin;cond-mat;cond-mat;cond-mat;cs;cs;cs;cs;cs;cs
R. G. Edwards,math;hep-lat;math;math;math;astro-ph;math;astro-ph;hep-lat;hep-lat
Mikhail Olshanetsky,nlin;hep-th;math-ph;math;math;astro-ph;astro-ph;cond-mat;cond-mat;cs
D. Dominici,hep-ph;hep-ph;hep-ph;hep-ph;cond-mat;hep-ph;hep-ph;physics;hep-ph;cond-mat
Giovanni Mottola,q-fin;q-fin;q-fin;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Craig D. Hodgson,math;math;math;math;math;math;math;math;math;math
Yen-Jen Oyang,astro-ph;stat;stat;hep-ex
P. Vranas,hep-lat;hep-lat;hep-lat;hep-ph;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat
Riccardo Capovilla,gr-qc;math-ph;gr-qc;gr-qc;gr-qc;cond-mat;cond-mat;gr-qc;gr-qc;hep-th
E. S. Kovalenko,stat;astro-ph;cond-mat;physics;hep-ph;hep-ph;hep-ph;cond-mat;hep-ph;cond-mat
M. Enkelmann,physics;math;math;math;astro-ph;astro-ph;astro-ph;cond-mat;cond-mat;cs
H. G. Ritter,astro-ph;nucl-th;nucl-ex;astro-ph;nucl-ex;astro-ph;cond-mat;astro-ph;astro-ph;hep-ex
P. Clements,gr-qc;gr-qc;math;gr-qc;cs;math;nucl-ex;cs;cond-mat;gr-qc
Lunjin Lu,cs;cs;cs;cs;cs;cs;cs;cs;cs;physics
David Gabai,math;math;math;math;math;math;math;math;math;math
 The CLEO collaboration,hep-ex;hep-ex;hep-ph;hep-ph;hep-ph;hep-ex;hep-ex;hep-ex;hep-ex;hep-ex
Daniel H. Rothman,cond-mat;cond-mat;physics;physics;physics;nlin;cond-mat;cond-mat;physics;physics
Jean-Yves Le Boudec,math;math;math;math;math;math;math;math;math;math
Michael Buerger,eess;cs;cs;math;math;math;astro-ph;astro-ph;astro-ph;astro-ph
J. E. Avron,quant-ph;math-ph;physics;math-ph;hep-lat;math-ph;math-ph;math-ph;physics;cond-mat
Kay Magaard,math;math;math;math;math;math;math;math;math;math
Lee Smolin,hep-th;gr-qc;hep-th;gr-qc;physics;gr-qc;gr-qc;gr-qc;hep-th;hep-th
Arlan Ramsay,math;math;math;math;math;astro-ph;math;astro-ph;astro-ph;astro-ph
Dietrich Stauffer,cond-mat;cond-mat;cond-mat;cond-mat;physics;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Douglas M. Snyder,cs;quant-ph;math;astro-ph;hep-th;hep-th;math;hep-ph;hep-ph;hep-ex
Olga Krestinskaya,cs;eess;cs;astro-ph;hep-ph;hep-ph;hep-ph;math;math;math
C. Da Via,gr-qc;physics;astro-ph;astro-ph;math;gr-qc;physics;hep-ph;astro-ph;cond-mat
Cristian Lenart,math;math;math;math;math;math;math;math;math;math
Evan Levine,eess;astro-ph;gr-qc;math;astro-ph;astro-ph;astro-ph;astro-ph;nucl-ex;math
Aykut Koc,cs;cs;eess;cond-mat;cond-mat;cs;cs;cs;cs;astro-ph
M. Dine,hep-th;hep-ph;hep-th;hep-ph;hep-th;hep-th;hep-ph;hep-th;hep-th;hep-th
Peter Sheridan Dodds,nlin;physics;physics;cond-mat;cond-mat;cond-mat;cond-mat;physics;physics;cs
Georgia Benkart,math;math;math;math;math;math;math;math;math;math
Georg Huelsenbeck,cond-mat;math;astro-ph;cond-mat;cond-mat;cond-mat;cond-mat;hep-ph;hep-ph;hep-ph
Daniel Dominguez,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Mark McDonald,stat;stat;q-fin;math;math;stat;physics;cs;q-fin;cond-mat
R. J. Kuszelewicz,nlin;nlin;nlin;nlin;physics;gr-qc;hep-th;math-ph;quant-ph;hep-th
P. Anthony,cond-mat;math;cond-mat;cond-mat;astro-ph;cs;cond-mat;cond-mat;math;cs
D. J. Johnson,hep-ph;math;nucl-th;nucl-th;hep-th;math;cond-mat;cond-mat;astro-ph;quant-ph
I. P. Gent,cs;astro-ph;cs;hep-ph;hep-th;physics;hep-ph;astro-ph;stat;hep-ph
Hermann Schichl,math;math;math;math;math;math;cond-mat;cond-mat;hep-ph;hep-ph
M. Marinescu,cond-mat;physics;quant-ph;cond-mat;cond-mat;math;math;math;math;math
Zinaida A. Lykova,math;math;math;math;math;math;math;math;math;math
Guenther Goerz,cs;cs;cs;cs;cs;cs;astro-ph;astro-ph;astro-ph;astro-ph
Jin-Hwan Cho,hep-th;math;math;math;math;math;hep-th;hep-th;hep-th;math
Partha Guha,nlin;math-ph;physics;math;math-ph;nlin;nlin;nlin;nlin;math-ph
V. I. Man'ko,quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;math-ph
Laura Liu,physics;econ;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;cs
V. Pleitez,hep-ph;physics;hep-ph;hep-ph;physics;hep-ph;physics;hep-ph;hep-ph;hep-ph
Christoph Durr,quant-ph;cs;quant-ph;cs;quant-ph;cs;cs;cs;cs;cs
J. Lidon Simon,cs;cond-mat;cond-mat;hep-th;hep-th;cond-mat;hep-th;quant-ph;hep-th;cond-mat
Wendy Hall,math-ph;cs;cs;math;math;math;math;math;math;math
C. C. Chow,cond-mat;nlin;math;math;math;quant-ph;math;math;math;cond-mat
R. Edwards,physics;physics;quant-ph;math;astro-ph;quant-ph;quant-ph;physics;cond-mat;math
D. Bressanini,quant-ph;physics;cond-mat;physics;physics;physics;physics;physics;nucl-th;astro-ph
R. G. Leigh,hep-th;hep-th;hep-th;hep-th;hep-th;hep-ph;hep-ph;hep-th;hep-th;hep-th
Hironmay Basu,cs;math-ph;math;astro-ph;cond-mat;hep-ph;hep-th;nucl-th;gr-qc;math
Eric Fransen,math;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
L. Santos,cond-mat;quant-ph;quant-ph;cond-mat;cond-mat;nucl-th;cond-mat;cond-mat;math;cond-mat
Rashmi Agarwal,cs;cs;cond-mat;nucl-ex;cs;cond-mat;cond-mat;hep-th;hep-th;cond-mat
M. Casalegno,physics;astro-ph;astro-ph;astro-ph;astro-ph;cond-mat;math;math;astro-ph;astro-ph
Sam D. Howison,cs;math;math;math;math;physics;hep-ex;math;q-fin;q-fin
G. E. Brown,astro-ph;astro-ph;hep-ph;nucl-th;nucl-th;astro-ph;nucl-th;astro-ph;astro-ph;astro-ph
Yogesh Deshpande,astro-ph;cs;astro-ph;astro-ph;astro-ph;cond-mat;math;astro-ph;astro-ph;cs
Andrei N. Soklakov,q-fin;q-fin;q-fin;q-fin;q-fin;q-fin;quant-ph;quant-ph;math-ph;quant-ph
Philip K. Maini,q-bio;cond-mat;physics;q-bio;math;q-bio;physics;q-bio;q-bio;q-bio
Chien-Yu Chen,math;nlin;math;math;math;stat;math;cs;math;math
Ivan O. Kitov,q-fin;q-fin;q-fin;q-fin;q-fin;q-fin;q-fin;q-fin;q-fin;q-fin
F. P. Brady,gr-qc;gr-qc;gr-qc;cond-mat;cond-mat;nucl-ex;math;cond-mat;gr-qc;nucl-ex
Noam Nisan,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
Amparo Baillo,q-fin;stat;q-bio;stat;math;math;cs;math;cs;cs
Debapriya Sengupta,math;stat;stat;cs;physics;math;nlin;cs;cond-mat;cs
Nestor Caticha,cond-mat;cond-mat;physics;cond-mat;stat;cond-mat;q-bio;q-bio;physics;physics
Peter Spreij,math;math;math;math;math;math;math;math;math;math
Matthias Arnsdorf,gr-qc;gr-qc;gr-qc;q-fin;hep-th;gr-qc;q-fin;math;astro-ph;astro-ph
Prashant M. Gade,cond-mat;nlin;cond-mat;cs;cs;cs;cs;cs;physics;physics
Gerard Duchamp,cs;math;math;math;math;cs;math;cs;math;math
Pierre McKenzie,math;cs;cs;cs;cs;cs;cs;cs;cs;math
Harry van Zanten,stat;math;math;math;math;math;math;stat;math;math
Igor B. Konovalov,cs;physics;math;math;math;cond-mat;math;math;math;math
Fritz Haake,quant-ph;nlin;quant-ph;nlin;quant-ph;nlin;nlin;gr-qc;quant-ph;nlin
V. Gafiychuk,cond-mat;cond-mat;nlin;nlin;cond-mat;nlin;q-bio;nlin;nlin;nlin
Mark Burnett,cs;cond-mat;cond-mat;physics;cond-mat;cond-mat;cond-mat;math;math;math
E. Canessa,cond-mat;physics;physics;physics;cond-mat;physics;gr-qc;cond-mat;cond-mat;cond-mat
J. A. C. Weideman,q-fin;math;cs;physics;math;math;math;cond-mat;hep-ex;cond-mat
G. L. Masala,physics;quant-ph;physics;physics;physics;physics;physics;physics;physics;physics
Yezekael Hayel,cs;cs;cs;cs;econ;cs;cs;cs;cs;cs
M. J. Brinkman,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;math;cond-mat
Mark-Jan Nederhof,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
N. Herrmann,nucl-ex;cond-mat;cond-mat;nucl-ex;cond-mat;cond-mat;nucl-ex;cond-mat;cond-mat;cs
L. P. Farris,nucl-ex;nucl-ex;astro-ph;hep-lat;hep-lat;hep-lat;hep-ph;astro-ph;astro-ph;astro-ph
Amnon Neeman,math;math;math;math;math;math;math;math;math;math
Philip Nelson,cond-mat;q-bio;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;physics;cond-mat
S. J. Childs,physics;physics;cond-mat;physics;physics;q-bio;q-bio;q-bio;q-bio;physics
Zhai Yu,math;math;cond-mat;math;math;cond-mat;math;cond-mat;cond-mat;cond-mat
Rajeev Motwani,cs;math;cs;cs;cs;cond-mat;math;cond-mat;cond-mat;cond-mat
Madan mohan Manokar,cs;cs;cs;math;math;cond-mat;cond-mat;cond-mat;cond-mat;math
Sailing He,physics;physics;physics;physics;physics;physics;physics;physics;physics;cond-mat
Alfred Galichon,math;math;math;math;stat;math;q-fin;stat;stat;math
Jean-Marc Allain,cond-mat;math;physics;math;nlin;physics;physics;q-bio;physics;physics
C. Da'Via,astro-ph
P. P. Mitra,hep-th;hep-th;hep-th;hep-th;gr-qc;hep-ph;hep-th;hep-th;hep-th;hep-th
Fabien Gallot,cs;astro-ph;math;math;math-ph;math-ph;math-ph;math-ph;math-ph;math
Satoshi Aoki,stat;math;math;stat;stat;stat;astro-ph;stat;hep-ph;stat
M. Martinez,hep-ex;hep-ex;hep-ex;hep-ex;hep-ex;hep-ex;astro-ph;hep-ph;hep-ph;astro-ph
Yongwimol Lenbury,physics;q-bio;cond-mat
Ashok Kumar Mittal,physics;math;math;math;math;astro-ph;cond-mat;physics;astro-ph;cond-mat
Fabio Mercurio,q-fin;cs;astro-ph;astro-ph;astro-ph;astro-ph;cond-mat;cond-mat;cond-mat;cond-mat
Hernan Galperin,cs;cs;cond-mat;cond-mat;cond-mat;astro-ph;astro-ph;cond-mat;cond-mat;cond-mat
Saharon Shelah,math;math;math;math;math;math;math;math;math;math
M. W. Friedlander,astro-ph;math;cond-mat;math;math;math;math;math;math;quant-ph
Evgeny A. Poletsky,math;math;math;math;math;math;math;math;math;math
R. Lima,hep-th;hep-th;hep-th;hep-th;astro-ph;hep-th;hep-th;astro-ph;hep-th;hep-th
Sanford P. Markey,q-bio;math;hep-ph;math;math;physics;hep-th;hep-ph;hep-ph;astro-ph
