Author,Fields
Xiaoxia Shi,stat;econ;math;math;math;math;math;math;math;math
Thando Tettey,stat;cs;cs
Chirag Jain,cs;cs;cond-mat;cond-mat;quant-ph;math;cs;cs;cs;cond-mat
I. Ganne,nlin;nlin;cond-mat;cond-mat;physics;nucl-ex;astro-ph;physics;physics;physics
S. -K. Yip,cond-mat;astro-ph;astro-ph;astro-ph;astro-ph;cond-mat;cond-mat;astro-ph;astro-ph;astro-ph
Luigi Foschini,quant-ph;physics;physics;astro-ph;astro-ph;physics;physics;physics;physics;astro-ph
R. Blute,gr-qc;math;gr-qc;quant-ph;math;math;math;cs;math;math
David M. Blei,stat;stat;stat;stat;stat;stat;stat;stat;stat;cs
Brian Herman,q-bio;math;astro-ph;cs;math;math;math;math;astro-ph;astro-ph
C. J. McKinstrie,physics;physics;physics;physics;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph
V. P. Maslov,physics;cond-mat;cond-mat;math;physics;math-ph;q-fin;q-fin;physics;physics
P. Delogu,physics;physics;physics;physics;physics;physics;astro-ph;physics;physics;physics
R G Eastman,astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;q-bio
M. W. Reynolds,physics;cs;cond-mat;gr-qc;astro-ph;astro-ph;physics;astro-ph;physics;math
Thomas A. Down,cs;hep-lat;math;physics;cond-mat;quant-ph;astro-ph;cs;gr-qc;gr-qc
Peter Clifford,math;quant-ph;math;quant-ph;math-ph;math;math;quant-ph;quant-ph;cs
Jijun Zhao,physics;cond-mat;cond-mat;cond-mat;physics;cond-mat;physics;physics;cond-mat;cond-mat
Emmanuel Ramasso,cs;math;cs;cond-mat;cond-mat;cond-mat;hep-th;hep-th;hep-th;math
Dariusz Latka,physics;physics;q-bio;cs;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;hep-th
Eleonora Granziera,econ;hep-th;hep-th;astro-ph;math;math;nlin;math;math;math
Xiaofeng Li,hep-ph;hep-ph;nlin;nlin;cond-mat;eess;cond-mat;nlin;cs;cond-mat
Lungile Mdlazi,stat;cs;cs
P. Katis,gr-qc;cs;astro-ph;nlin;math;astro-ph;math;gr-qc;gr-qc;gr-qc
Zhixiang Liu,physics;cs;physics;math;math;math;math;cs;cs;cs
Y. Kabak,cs;cs;cs;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;physics
R. J. Haarsma,astro-ph;physics;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;physics;gr-qc
K. Shibata,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;quant-ph;cond-mat;cond-mat;astro-ph
Mohamed Shehata,cs;cs;eess;cs;hep-ph;hep-th;hep-th;math;math;math
Javier Villarroel,physics;q-fin;math;physics;math-ph;math-ph;math-ph;math;astro-ph;astro-ph
C. P. Burgess,hep-th;hep-th;hep-ph;hep-ph;hep-ph;gr-qc;hep-ph;hep-ph;hep-ph;hep-ph
Jiling Cao,math;math;math;math;math;q-fin;math;math;math;math
Yongbin Ruan,math;math;math;math;math;math;math;math;math;math
Min Dai,astro-ph;cs;physics;q-fin;cond-mat;hep-ph;math;astro-ph;physics;cond-mat
Claudia Queiruga,cs;astro-ph;hep-ex;hep-ex;math;math;math;math;math;math
D. Horn,math;hep-ph;math;math;math;math;math;quant-ph;math;astro-ph
Michael Shapiro,math;math;math;math;q-bio;math-ph;math;q-bio;q-bio;math
Graeme B. Segal,math;math;math-ph;math;cond-mat;math;hep-th;hep-th;hep-th;cond-mat
J. Pouliot,hep-th;astro-ph;hep-th;hep-th;nucl-ex;physics;hep-th;hep-th;hep-th;cond-mat
F. Sammarruca,nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th
T. A. DeGrand,hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-th;hep-ph;hep-lat;hep-lat;hep-lat
E. Gates L. Krauss J. Terning,hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph
Emine U Saritas,physics;eess;physics;physics;math;math;math;math;math;math
A. A. Balinsky,hep-th;hep-th;hep-th;hep-th;math-ph;math;math;hep-th;math;math-ph
Patrick B. Warren,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;q-bio;cond-mat;physics
Eshel Ben-Jacob,physics;nlin;physics;physics;physics;cond-mat;cond-mat;cond-mat;cond-mat;q-bio
Aristides T. Hatjimihail,cs;nlin;cs;math;math;math;math;math;math;math
Elise E. Cawley,math;math;math;astro-ph;cs;math;math;cs;math;math
L. A. C. P. da Mota,math-ph;math-ph;math-ph;math-ph;math-ph;math;math-ph;math-ph;math-ph;cs
D. A. Cebra,nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex
J. Zach,astro-ph;nucl-ex;math;astro-ph;physics;astro-ph;stat;physics;nucl-ex;nucl-ex
S. A. Merkulov,math;math;math;math;math-ph;math;math;math;math;math
Piotr Minc,math;math;math;astro-ph;astro-ph;nlin;cond-mat;cond-mat;cond-mat;cond-mat
M. Castoldi,physics;hep-ph;nucl-ex;hep-ex;hep-ex;astro-ph;hep-ex;nucl-ex;physics;nucl-ex
R. G. Khlebopros,q-bio;cs;q-bio;cs;math;cs;cs;cs;math;math
Ingemar Reiyer,cs;gr-qc;gr-qc;gr-qc;gr-qc;quant-ph;quant-ph;quant-ph;quant-ph;gr-qc
Ning-Zhong Shi,math;cond-mat;math;math;math;math;math;math;quant-ph;math
J. Olness,cond-mat;cond-mat;math;hep-ph;hep-ph;cond-mat;cond-mat;cond-mat;hep-ph;hep-ph
A. Saltelli,cs;stat;physics;stat;stat;math;q-fin;stat;cond-mat;cond-mat
Onn Shehory,cs;cs;math;math;math;math;math;cs;math;math
Rebecca N. Wright,math;cs;cs;cs;cs;math;cs;cs;cond-mat;math
Dean Karlen,physics;hep-ph;hep-th;hep-th;math;math;math;math;nucl-th;nucl-th
Owen Lagadec,cs;gr-qc;gr-qc;gr-qc;hep-ex;hep-ex;math;gr-qc;gr-qc;hep-ex
V. E. Fedorov,nucl-th;physics;quant-ph;quant-ph;cond-mat;quant-ph;quant-ph;nucl-th;nucl-th;nucl-th
Brian Fristensky,q-bio;math;math;math;math;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Thomas Gasenzer,cond-mat;cond-mat;cond-mat;cond-mat;physics;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
M. H. Sharifzadeh Amin,cond-mat
Sharad Saxena,cs;math;math;math;math;cond-mat;cs;cond-mat;cs;cs
H. -J. Bulten,cond-mat;cond-mat;gr-qc;quant-ph;quant-ph;quant-ph;cond-mat;quant-ph;quant-ph;quant-ph
P. Chandra,cond-mat
Roger E. Howe,math
J. E. Gallegos,hep-th
D. K. Klimov,cond-mat
Abel Rodriguez,stat;stat;stat;stat;stat;q-fin;stat;stat;stat;stat
B. Girolami,hep-ex;physics;nucl-ex;stat;nucl-ex;hep-ex;hep-ex;astro-ph;nucl-ex;nucl-ex
Richard Kenyon,math;math;math-ph;math;math;math-ph;math;math;math;math-ph
M. Serio,nlin;physics;hep-ex;nlin;nlin;nlin;nlin;physics;physics;astro-ph
H. Huang,astro-ph;astro-ph;physics;hep-ph;cond-mat;quant-ph;hep-ph;astro-ph;cond-mat;cs
Alaka Das,nlin;nlin;physics;cond-mat;cs;cs;math;physics;cs;hep-ph
